TIMES commodity,Description,Unit,Sector,Type,Cluster,PyPSA Energy Carrier,Upstream commodity,Upstream process,Comment
CCSA,Commercial space cooling Santé Existing,PJ,COM,NRG,Electricity for existing commercial appliances,Commercial space cooling Santé Existing,,,auto-added from AllCommodities.csv
INDHWT,Chaleur fatale (IND),PJ,IND,NRG,Chaleur fatale (IND),Chaleur fatale (IND),,,auto-added from AllCommodities.csv
COSE,Commercial Serveur DATA CENTER Existing,PJ,COM,DEM,Electricity for existing commercial appliances,Commercial Serveur DATA CENTER Existing,,,auto-added from AllCommodities.csv
CPLI,Commercial Public Lighting Existing,PJ,COM,DEM,Electricity for existing commercial appliances,Commercial Public Lighting Existing,,,auto-added from AllCommodities.csv
DJAP,Energy correction based on degree days,PJ,RSD,DEM,Energy correction based on degree days,DJAP,,,auto-added from AllCommodities.csv
RENGEO,Geothermal,PJ,SUP,NRG,Geothermal,Geothermal,,,auto-added from AllCommodities.csv
TAIF,Aviation International Freight,PJ,TRA,DEM,Fuel for aviation,international aviation,,,auto-added from AllCommodities.csv
NEO,Non Energy Consumption - Others,PJ,IND,DEM,Non-energy,naphtha,,,auto-added from AllCommodities.csv
COMGEO,Geothermal (COM),PJ,COM,NRG,Geothermal (COM),Geothermal (COM),,,auto-added from AllCommodities.csv
COMCPS,Chips wood (COM),PJ,COM,NRG,Chips wood (COM),Chips wood (COM),,,auto-added from AllCommodities.csv
INDSOL,Solar (IND),PJ,IND,NRG,Solar (IND),Solar (IND),,,auto-added from AllCommodities.csv
NEC,Non Energy Consumption - Chemicals,PJ,IND,DEM,Non-energy,naphtha,,,auto-added from AllCommodities.csv
OILNAP,Naphtha,PJ,IND,NRG,Non-energy,naphtha,,,Added for industry sector
TRAGAS,Fuel Tech - Natural Gas (TRA),PJ,TRA,DEM,total energy for transport,total energy for transport,,,
TRAGZH,BioGas (TAR),PJ,TRA,DEM,total energy for transport,total energy for transport,,,
INDGZH,Fuel Tech New - biogaz epure (IND),PJ,IND,DEM,gas for industry,gas for industry,,,
BATELCOUT,TSTGEVCMIDN01,PJ,TRA,DEM,total energy for transport,Electricity ,,,
