Technology (Process),PyPSA technology,Sector,Set,Description,Activity unit,Capacity unit,Type,Primary commodity group,Time slice level,Vintage,Aggregation Level 1,Aggregation Level 2
AGRAPP00,agriculture electricity,AGR,.DMD.,Base year electrical appliances,PJ,PJA,DMD,AGRAP,ANNUAL,"0,00",Agriculture,Agriculture
AGRBDL00,Fuel Tech – Biodiesel,AGR,.PRE.,Fuel Tech - Biodiesel (AGR),PJ,PJA,PRE,AGRBDL,ANNUAL,"0,00",Fuel Tech – Biodiesel,Fuel Tech – Biodiesel
AGRBGS00,Fuel Tech - Biogas,AGR,.PRE.,Fuel Tech - Biogas(AGR),PJ,PJA,PRE,AGRBGS,ANNUAL,"0,00",Fuel Tech - Biogas,Fuel Tech - Natural Gas biogas mixed
AGRCPS00,Fuel - Tech - bois chips,AGR,.PRE.,Fuel - Tech - bois chips (AGR),PJ,PJA,PRE,AGRCPS,ANNUAL,"0,00",Fuel - Tech - bois chips,Biofuels
AGRELC00,Fuel Tech - Electricity ,AGR,.PRE.,Fuel Tech - Electricity (AGR),PJ,PJA,PRE,AGRELC,DAYNITE,"0,00",Fuel Tech - Electricity ,Fuel Tech - Electricity 
AGRGMX00,Fuel Tech - gas mix réseau,AGR,.PRE.,Fuel Tech - gas mix réseau,PJ,PJA,PRE,AGRGMX,ANNUAL,"0,00",Fuel Tech - gas mix réseau,Fuel Tech - Natural Gas biogas mixed
AGRHET00,Fuel Tech - Low Temperature Heat,AGR,.PRE.,Fuel Tech - Low Temperature Heat (AGR),PJ,PJA,PRE,AGRHET,SEASON,"0,00",Fuel Tech - Low Temperature Heat,Fuel Tech - Low Temperature Heat
AGRHH00,heat for agriculture,AGR,.DMD.,Base year oil  boiler  small,PJ,PJA,DMD,AGRHH,ANNUAL,"0,00",Agriculture,Agriculture
AGROFR00,oil for agriculture,AGR,.DMD.,Base year offroad,PJ,PJA,DMD,AGROF,ANNUAL,"0,00",Agriculture,Agriculture
AGROIL00,Fuel Tech - Oil,AGR,.PRE.,Fuel Tech - Oil (AGR),PJ,PJA,PRE,AGROIL,ANNUAL,"0,00",Fuel Tech - Oil,Oil
BBIORPS101,SUP_PRE_PJ_GW,SUP,.PRE.,Vegetable oil extraction,PJ,GW,PRE,BIORPOIL,ANNUAL,"0,00",SUP_PRE_PJ_GW,SUP_PRE_PJ_GW
BBLQFTST110,SUP_PRE_PJ_GW,SUP,.PRE.,Gasification_ black liquor to FT-diesel,PJ,GW,PRE,BIODST,ANNUAL,"0,00",SUP_PRE_PJ_GW,SUP_PRE_PJ_GW
BBLQH2G110,SUP_PRE_PJ_GW,SUP,.PRE.,Gasification_ black liquor to hydrogen,PJ,GW,PRE,SYNH2CT,DAYNITE,"1,00",SUP_PRE_PJ_GW,SUP_PRE_PJ_GW
BCRPETH101,SUP_PRE_PJ_GW,SUP,.PRE.,Ethanol production from starch crops,PJ,GW,PRE,BIOETH,ANNUAL,"0,00",SUP_PRE_PJ_GW,SUP_PRE_PJ_GW
BRPSME101,SUP_PRE_PJ_GW,SUP,.PRE.,Transesterification of vegetable oils,PJ,GW,PRE,BIORME,ANNUAL,"0,00",SUP_PRE_PJ_GW,SUP_PRE_PJ_GW
BWBIOGAZ100,SUP_PRE_PJ_GW,SUP,.PRE.,Methanisation Biogas production,PJ,GW,PRE,BIOGAS,ANNUAL,"0,00",SUP_PRE_PJ_GW,SUP_PRE_PJ_GW
CCBAELC100,Commercial electrical processes,COM,.PRE.,Com.Space Cool.BA.ELC.00.Central.,PJ,GW,PRE,CCBA,ANNUAL,"0,00",commercial other,commercial other
CCBAELC200,Commercial electrical processes,COM,.PRE.,Com.Space Cool.BA.ELC.00.Windows.,PJ,GW,PRE,CCBA,ANNUAL,"0,00",commercial other,commercial other
CCBAELC300,Commercial electrical processes,COM,.PRE.,Com.Space Cool.BA.ELC.00.Fans.,PJ,GW,PRE,CCBA,ANNUAL,"0,00",commercial other,commercial other
CCBPELC100,Commercial electrical processes,COM,.PRE.,Com.Space Cool.BP.ELC.00.Central.,PJ,GW,PRE,CCBP,ANNUAL,"0,00",commercial other,commercial other
CCBPELC200,Commercial electrical processes,COM,.PRE.,Com.Space Cool.BP.ELC.00.Windows.,PJ,GW,PRE,CCBP,ANNUAL,"0,00",commercial other,commercial other
CCBPELC300,Commercial electrical processes,COM,.PRE.,Com.Space Cool.BP.ELC.00.Fans.,PJ,GW,PRE,CCBP,ANNUAL,"0,00",commercial other,commercial other
CCBPELC301,Commercial electrical processes,COM,.PRE.,Com Space Cool New - BP - ELC301,PJ,GW,PRE,CCBP,ANNUAL,"0,00",commercial other,commercial other
CCCOELC100,Commercial electrical processes,COM,.PRE.,Com.Space Cool.CO.ELC.00.Central.,PJ,GW,PRE,CCCO,ANNUAL,"0,00",commercial other,commercial other
CCCOELC200,Commercial electrical processes,COM,.PRE.,Com.Space Cool.CO.ELC.00.Windows.,PJ,GW,PRE,CCCO,ANNUAL,"0,00",commercial other,commercial other
CCCOELC300,Commercial electrical processes,COM,.PRE.,Com.Space Cool.CO.ELC.00.Fans.,PJ,GW,PRE,CCCO,ANNUAL,"0,00",commercial other,commercial other
CCCOELC301,Commercial electrical processes,COM,.PRE.,Com Space Cool New - CO - ELC301,PJ,GW,PRE,CCCO,ANNUAL,"0,00",commercial other,commercial other
CCCSELC100,Commercial electrical processes,COM,.PRE.,Com.Space Cool.CS.ELC.00.Central.,PJ,GW,PRE,CCCS,ANNUAL,"0,00",commercial other,commercial other
CCCSELC200,Commercial electrical processes,COM,.PRE.,Com.Space Cool.CS.ELC.00.Windows.,PJ,GW,PRE,CCCS,ANNUAL,"0,00",commercial other,commercial other
CCCSELC300,Commercial electrical processes,COM,.PRE.,Com.Space Cool.CS.ELC.00.Fans.,PJ,GW,PRE,CCCS,ANNUAL,"0,00",commercial other,commercial other
CCCSELC301,Commercial electrical processes,COM,.PRE.,Com Space Cool New - CS - ELC301,PJ,GW,PRE,CCCS,ANNUAL,"0,00",commercial other,commercial other
CCCSGMXHP101,other services,COM,.PRE.,Com Space Cool New - CS - GMX101,PJ,GW,PRE,CCCS,ANNUAL,"0,00",commercial other,commercial other
CCDATAELC301,Commercial electrical processes,COM,.PRE.,Com Space Cool New - DATA - ELC301,PJ,GW,PRE,CCDATA,ANNUAL,"0,00",commercial other,commercial other
CCDATELC100,Commercial electrical processes,COM,.PRE.,Com.Space Cool.DATA.ELC.00.Central.,PJ,GW,PRE,CCDATA,ANNUAL,"0,00",commercial other,commercial other
CCDATELC200,Commercial electrical processes,COM,.PRE.,Com.Space Cool.DATA.ELC.00.Windows.,PJ,GW,PRE,CCDATA,ANNUAL,"0,00",commercial other,commercial other
CCDATELC300,Commercial electrical processes,COM,.PRE.,Com.Space Cool.DATA.ELC.00.Fans.,PJ,GW,PRE,CCDATA,ANNUAL,"0,00",commercial other,commercial other
CCENELC100,Commercial electrical processes,COM,.PRE.,Com.Space Cool.EN.ELC.00.Central.,PJ,GW,PRE,CCEN,ANNUAL,"0,00",commercial other,commercial other
CCENELC200,Commercial electrical processes,COM,.PRE.,Com.Space Cool.EN.ELC.00.Windows.,PJ,GW,PRE,CCEN,ANNUAL,"0,00",commercial other,commercial other
CCENELC300,Commercial electrical processes,COM,.PRE.,Com.Space Cool.EN.ELC.00.Fans.,PJ,GW,PRE,CCEN,ANNUAL,"0,00",commercial other,commercial other
CCNBAELC301,Commercial electrical processes,COM,.PRE.,Com Space Cool New - NBA - ELC301,PJ,GW,PRE,CCNBA,ANNUAL,"0,00",commercial other,commercial other
CCNBPELC301,Commercial electrical processes,COM,.PRE.,Com Space Cool New - NBP - ELC301,PJ,GW,PRE,CCNBP,ANNUAL,"0,00",commercial other,commercial other
CCNCSELC301,Commercial electrical processes,COM,.PRE.,Com Space Cool New - NCS - ELC301,PJ,GW,PRE,CCNCS,ANNUAL,"0,00",commercial other,commercial other
