Technology (Process),PyPSA technology,Sector,Set,Description,Activity unit,Capacity unit,Type,Primary commodity group,Time slice level,Vintage,Aggregation Level 1,Aggregation Level 2
CCNCSGMXHP101,other services,COM,.PRE.,Com Space Cool New - NCS - GMX101,PJ,GW,PRE,CCNCS,ANNUAL,"0,00",commercial other,commercial other
CCNDATAELC301,Commercial electrical processes,COM,.PRE.,Com Space Cool New - NDATA - ELC301,PJ,GW,PRE,CCNDATA,ANNUAL,"0,00",commercial other,commercial other
CCNENELC301,Commercial electrical processes,COM,.PRE.,Com Space Cool New - NEN - ELC301,PJ,GW,PRE,CCNEN,ANNUAL,,commercial other,commercial other
CCNSAELC301,Commercial electrical processes,COM,.PRE.,Com Space Cool New - NSA - ELC301,PJ,GW,PRE,CCNSA,ANNUAL,,commercial other,commercial other
CCOKELC100,tertiary electricity cooking,COM,.DMD.,Com.Cooking.ELC.00.Stove.,PJ,PJA,DMD,CCOK,ANNUAL,"0,00",commercial cooking,commercial other
CCOKGMX101,total services cooking,COM,.DMD.,Com.Cooking.GMX.01.Stove.,PJ,PJA,DMD,CCOK,ANNUAL,"0,00",commercial cooking,commercial other
CCOKLPG101,total services cooking,COM,.DMD.,Com.Cooking.LPG.01.Stove.,PJ,PJA,DMD,CCOK,ANNUAL,"0,00",commercial cooking,commercial other
CCSAELC100,Commercial electrical processes,COM,.PRE.,Com.Space Cool.SA.ELC.00.Central.,PJ,GW,PRE,CCSA,ANNUAL,"0,00",commercial other,commercial other
CCSAELC200,Commercial electrical processes,COM,.PRE.,Com.Space Cool.SA.ELC.00.Windows.,PJ,GW,PRE,CCSA,ANNUAL,"0,00",commercial other,commercial other
CCSAELC300,Commercial electrical processes,COM,.PRE.,Com.Space Cool.SA.ELC.00.Fans.,PJ,GW,PRE,CCSA,ANNUAL,"0,00",commercial other,commercial other
CCSAELC301,Commercial electrical processes,COM,.PRE.,Com Space Cool New - SA - ELC301,PJ,GW,PRE,CCSA,ANNUAL,,commercial other,commercial other
CHBABGS100,Space heating services,COM,.PRE.,Com.Space Heat.BA.BGS.00.Furnace.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHBACPS100,Space heating services,COM,.PRE.,Com.Space Heat.BA.BIOCPS.00.Stove.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHBAELC100,Space heating services,COM,.PRE.,Com.Space Heat.BA.ELC.00.Resistance.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",commercial space heating,Commercial Biomass boiler
CHBAELC200,Space heating services,COM,.PRE.,Com.Space Heat.BA.ELC.00.Heat Pump.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",commercial space heating,Commercial Heat pump
CHBAELCHPR202,Space heating services,COM,.PRE.,Com Space Heat New Heat Pump With Reno - CO - ELC202,PJ,GW,PRE,CHBAELCHPR202_NRGO,ANNUAL,"0,00",commercial space heating,Commercial Heat pump
CHBAGEO100,Space heating services,COM,.PRE.,Com.Space Heat.BA.GEO.00.Furnace.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHBAGMX100,Space heating services,COM,.PRE.,Com.Space Heat.BA.GAS.00.Furnace.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHBAGMX501,Space heating services,COM,.PRE.,Com Space Heat New Boiler - CO - GMX501,PJ,GW,PRE,CHBAGMX501_NRGO,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHBAHET100,Space heating services,COM,.PRE.,Com.Space Heat.BA.LTH.00.Heat exchanger.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",commercial space heating,Commercial Heat Exchanger
CHBALPG100,Space heating services,COM,.PRE.,Com.Space Heat.BA.LPG.00.Furnace.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHBALTH101,Space heating services,COM,.PRE.,Com Space Heat New Heat Exchanger - BA - HET101,PJ,GW,PRE,CHBALTH101_NRGO,ANNUAL,"0,00",commercial space heating,Commercial Heat Exchanger
CHBAOIL100,Space heating services,COM,.PRE.,Com.Space Heat.BA.OIL.00.Furnace.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",commercial space heating,Commercial Oil boiler
CHBAPEL100,Space heating services,COM,.PRE.,Com.Space Heat.BA.BIOPEL.00.Stove.,PJ,GW,PRE,CHBA,ANNUAL,"0,00",commercial space heating,Commercial Biomass boiler
CHBPBGS100,Space heating services,COM,.PRE.,Com.Space Heat.BP.BGS.00.Furnace.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHBPCPS100,Space heating services,COM,.PRE.,Com.Space Heat.BP.BIOCPS.00.Stove.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",commercial space heating,Commercial Biomass boiler
CHBPELC100,Space heating services,COM,.PRE.,Com.Space Heat.BP.ELC.00.Resistance.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",commercial space heating,Commercial Biomass boiler
CHBPELC200,Space heating services,COM,.PRE.,Com.Space Heat.BP.ELC.00.Heat Pump.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",commercial space heating,Commercial Heat pump
CHBPGEO100,Space heating services,COM,.PRE.,Com.Space Heat.BP.GEO.00.Furnace.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",commercial space heating,commercial Geothermal
CHBPGMX100,Space heating services,COM,.PRE.,Com.Space Heat.BP.GAS.00.Furnace.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHBPGMX501,Space heating services,COM,.PRE.,Com Space Heat New Boiler - BP - GMX501,PJ,GW,PRE,CHBPGMX501_NRGO,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHBPHET100,Space heating services,COM,.PRE.,Com.Space Heat.BP.LTH.00.Heat exchanger.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",commercial space heating,Commercial Heat Exchanger
CHBPLPG100,Space heating services,COM,.PRE.,Com.Space Heat.BP.LPG.00.Furnace.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHBPLTH101,Space heating services,COM,.PRE.,Com Space Heat New Heat Exchanger - BP - HET101,PJ,GW,PRE,CHBPLTH101_NRGO,ANNUAL,"0,00",commercial space heating,Commercial Heat Exchanger
CHBPOIL100,Space heating services,COM,.PRE.,Com.Space Heat.BP.OIL.00.Furnace.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",commercial space heating,Commercial Oil boiler
CHBPPEL100,Space heating services,COM,.PRE.,Com.Space Heat.BP.BIOPEL.00.Stove.,PJ,GW,PRE,CHBP,ANNUAL,"0,00",commercial space heating,Commercial Biomass boiler
CHCOBGS100,Space heating services,COM,.PRE.,Com.Space Heat.CO.BGS.00.Furnace.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHCOCPS100,Space heating services,COM,.PRE.,Com.Space Heat.CO.BIOCPS.00.Stove.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",commercial space heating,Commercial Biomass boiler
CHCOELC100,Space heating services,COM,.PRE.,Com.Space Heat.CO.ELC.00.Resistance.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",commercial space heating,Commercial electrical stove
CHCOELC200,Space heating services,COM,.PRE.,Com.Space Heat.CO.ELC.00.Heat Pump.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",commercial space heating,Commercial Heat pump
CHCOGEO100,Space heating services,COM,.PRE.,Com.Space Heat.CO.GEO.00.Furnace.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",commercial space heating,commercial Geothermal
CHCOGMX100,Space heating services,COM,.PRE.,Com.Space Heat.CO.GAS.00.Furnace.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHCOGMX501,Space heating services,COM,.PRE.,Com Space Heat New Boiler - CO - GMX501,PJ,GW,PRE,CHCOGMX501_NRGO,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHCOHET100,Space heating services,COM,.PRE.,Com.Space Heat.CO.LTH.00.Heat exchanger.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",commercial space heating,Commercial Heat Exchanger
CHCOLPG100,Space heating services,COM,.PRE.,Com.Space Heat.CO.LPG.00.Furnace.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHCOLTH101,Space heating services,COM,.PRE.,Com Space Heat New Heat Exchanger - CO - HET101,PJ,GW,PRE,CHCOLTH101_NRGO,ANNUAL,"0,00",commercial space heating,Commercial Heat Exchanger
CHCOOIL100,Space heating services,COM,.PRE.,Com.Space Heat.CO.OIL.00.Furnace.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",commercial space heating,Commercial Oil boiler
CHCOPEL100,Space heating services,COM,.PRE.,Com.Space Heat.CO.BIOPEL.00.Stove.,PJ,GW,PRE,CHCO,ANNUAL,"0,00",commercial space heating,Commercial Biomass boiler
CHCSBGS100,Space heating services,COM,.PRE.,Com.Space Heat.CS.BGS.00.Furnace.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHCSCPS100,Space heating services,COM,.PRE.,Com.Space Heat.CS.BIOCPS.00.Stove.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",commercial space heating,Commercial Biomass boiler
CHCSELC100,Space heating services,COM,.PRE.,Com.Space Heat.CS.ELC.00.Resistance.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",commercial space heating,Commercial electrical stove
CHCSELC200,Space heating services,COM,.PRE.,Com.Space Heat.CS.ELC.00.Heat Pump.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",commercial space heating,Commercial Heat pump
CHCSGEO100,Space heating services,COM,.PRE.,Com.Space Heat.CS.GEO.00.Furnace.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",commercial space heating,commercial Geothermal
CHCSGMX100,Space heating services,COM,.PRE.,Com.Space Heat.CS.GAS.00.Furnace.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHCSGMX401,Space heating services,COM,.PRE.,Com Space Heat New Boiler - CS - GMX401,PJ,GW,PRE,CHCS,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHCSHET100,Space heating services,COM,.PRE.,Com.Space Heat.CS.LTH.00.Heat exchanger.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",commercial space heating,Commercial Heat Exchanger
CHCSLPG100,Space heating services,COM,.PRE.,Com.Space Heat.CS.LPG.00.Furnace.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHCSLTH101,Space heating services,COM,.PRE.,Com Space Heat New Heat Exchanger - CS - HET101,PJ,GW,PRE,CHCSLTH101_NRGO,ANNUAL,"0,00",commercial space heating,Commercial Heat Exchanger
CHCSOIL100,Space heating services,COM,.PRE.,Com.Space Heat.CS.OIL.00.Furnace.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",commercial space heating,Commercial Oil boiler
CHCSPEL100,Space heating services,COM,.PRE.,Com.Space Heat.CS.BIOPEL.00.Stove.,PJ,GW,PRE,CHCS,ANNUAL,"0,00",commercial space heating,Commercial Biomass boiler
CHENBGS100,Space heating services,COM,.PRE.,Com.Space Heat.EN.BGS.00.Furnace.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHENCPS100,Space heating services,COM,.PRE.,Com.Space Heat.EN.BIOCPS.00.Stove.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",commercial space heating,Commercial Biomass boiler
CHENELC100,Space heating services,COM,.PRE.,Com.Space Heat.EN.ELC.00.Resistance.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",commercial space heating,Commercial electrical stove
CHENELC200,Space heating services,COM,.PRE.,Com.Space Heat.EN.ELC.00.Heat Pump.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",commercial space heating,Commercial Heat pump
CHENELCHPR202,Space heating services,COM,.PRE.,Com Space Heat New Heat Pump With Reno - CO - ELC202,PJ,GW,PRE,CHENELCHPR202_NRGO,ANNUAL,"0,00",commercial space heating,Commercial Heat pump
CHENGEO100,Space heating services,COM,.PRE.,Com.Space Heat.EN.GEO.00.Furnace.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",commercial space heating,commercial Geothermal
CHENGMX100,Space heating services,COM,.PRE.,Com.Space Heat.EN.GAS.00.Furnace.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHENGMX501,Space heating services,COM,.PRE.,Com Space Heat New Boiler - CO - GMX501,PJ,GW,PRE,CHENGMX501_NRGO,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHENHET100,Space heating services,COM,.PRE.,Com.Space Heat.EN.LTH.00.Heat exchanger.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",commercial space heating,Commercial Heat Exchanger
CHENLPG100,Space heating services,COM,.PRE.,Com.Space Heat.EN.LPG.00.Furnace.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHENLTH101,Space heating services,COM,.PRE.,Com Space Heat New Heat Exchanger - EN - HET101,PJ,GW,PRE,CHENLTH101_NRGO,ANNUAL,"0,00",commercial space heating,Commercial Heat Exchanger
CHENOIL100,Space heating services,COM,.PRE.,Com.Space Heat.EN.OIL.00.Furnace.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",commercial space heating,Commercial Oil boiler
CHENPEL100,Space heating services,COM,.PRE.,Com.Space Heat.EN.WODDPELL.00.Stove.,PJ,GW,PRE,CHEN,ANNUAL,"0,00",commercial space heating,Commercial Biomass boiler
CHNBAGMX501,Space heating services,COM,.PRE.,Com Space Heat New Boiler - NCO - GMX501,PJ,GW,PRE,CHNBAGMX501_NRGO,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHNBPGMX501,Space heating services,COM,.PRE.,Com Space Heat New Boiler - NBP – GMX501,PJ,GW,PRE,CHNBPGMX501_NRGO,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHNCOELCHP202,Space heating services,COM,.PRE.,Com Space Heat New Heat pump - NCO - ELC202,PJ,GW,PRE,CHNCOELCHP202_NRGO,ANNUAL,"0,00",commercial space heating,Commercial Heat pump
CHNCOGMX501,Space heating services,COM,.PRE.,Com Space Heat New Boiler - NCO - GMX501,PJ,GW,PRE,CHNCOGMX501_NRGO,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHNCSGMX401,Space heating services,COM,.PRE.,Com Space Heat New Boiler - NCS - GMX401,PJ,GW,PRE,CHNCS,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHNENGMX501,Space heating services,COM,.PRE.,Com Space Heat New Boiler - NCO - GMX501,PJ,GW,PRE,CHNENGMX501_NRGO,ANNUAL,,commercial space heating,Commercial gas boiler
CHNSAGMX501,Space heating services,COM,.PRE.,Com Space Heat New Boiler - NCO - GMX501,PJ,GW,PRE,CHNSAGMX501_NRGO,ANNUAL,,commercial space heating,Commercial gas boiler
CHPINDBLQIPPN00_N,industrial CHP,IND,.CHP.,CHP.Autoproducer.Industry.Pulp&Paper_BLQ-New 00_N,PJ,GW,CHP,CHPINDBLQIPPN00_N_NRGO,DAYNITE,"1,00",Industry,Industry
CHPINDCPSIPPN00_N,industrial CHP,IND,.CHP.,CHP.Autoproducer.Industry.Pulp&Paper_CPS-New 00_N,PJ,GW,CHP,CHPINDCPSIPPN00_N_NRGO,DAYNITE,"1,00",Industry,Industry
CHPINDIBP00,industrial CHP,IND,.CHP.,CHP.Autoproducer.Industry.wood.00,PJ,GW,CHP,CHPINDIBP00_NRGO,DAYNITE,"0,00",Industry,Industry
CHPINDICH00,industrial CHP,IND,.CHP.,CHP.Autoproducer.industrie.chimie.00,PJ,GW,CHP,CHPINDICH00_NRGO,DAYNITE,"0,00",Industry,Industry
CHPINDIML00,industrial CHP,IND,.CHP.,CHP.Autoproducer.Industry.FOOD.Milk.00,PJ,GW,CHP,CHPINDIML00_NRGO,DAYNITE,"0,00",Industry,Industry
CHPINDINM00,industrial CHP,IND,.CHP.,CHP.Autoproducer.Industry.others.non.metal.00,PJ,GW,CHP,CHPINDINM00_NRGO,DAYNITE,"0,00",Industry,Industry
CHPINDIOF00,industrial CHP,IND,.CHP.,CHP.Autoproducer.Industry.FOOD.others.00,PJ,GW,CHP,CHPINDIOF00_NRGO,DAYNITE,"0,00",Industry,Industry
CHPINDIOI00,industrial CHP,IND,.CHP.,CHP.Autoproducer.Industry.others.non.metal.00,PJ,GW,CHP,CHPINDIOI00_NRGO,DAYNITE,"0,00",Industry,Industry
CHPINDIPO00,industrial CHP,IND,.CHP.,CHP.Autoproducer.Industry.FOODIPO.00,PJ,GW,CHP,CHPINDIPO00_NRGO,DAYNITE,"0,00",Industry,Industry
CHPINDIPP00,industrial CHP,IND,.CHP.,CHP.Autoproducer.Industry.Pulp&Paper.00,PJ,GW,CHP,CHPINDIPP00_NRGO,DAYNITE,"0,00",Industry,Industry
CHPINDISG00,industrial CHP,IND,.CHP.,CHP.Autoproducer.Industry.FOOD.ISGar.00,PJ,GW,CHP,CHPINDISG00_NRGO,DAYNITE,"0,00",Industry,Industry
CHPINDWSTIPPN00_N,industrial CHP,IND,.CHP.,CHP.Autoproducer.Industry.Pulp&Paper_WST-New 00_N,PJ,GW,CHP,CHPINDWSTIPPN00_N_NRGO,DAYNITE,"1,00",Industry,Industry
CHSABGS100,Space heating services,COM,.PRE.,Com.Space Heat.SA.BGS.00.Furnace.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHSACPS100,Space heating services,COM,.PRE.,Com.Space Heat.SA.BIOCPS.00.Stove.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",commercial space heating,Commercial Biomass boiler
CHSADUM-DEM,other demand,COM,.DMD.,Commercial dummy tech from CHP heat to CH for CHSA,PJ,PJ,DMD,CHSA,ANNUAL,"0,00",other demand,other demand
CHSAELC100,Space heating services,COM,.PRE.,Com.Space Heat.SA.ELC.00.Resistance.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",commercial space heating,Commercial electrical stove
CHSAELC200,Space heating services,COM,.PRE.,Com.Space Heat.SA.ELC.00.Heat Pump.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",commercial space heating,Commercial Heat pump
CHSAGEO100,Space heating services,COM,.PRE.,Com.Space Heat.SA.GEO.00.Furnace.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",commercial space heating,commercial Geothermal
CHSAGMX100,Space heating services,COM,.PRE.,Com.Space Heat.SA.GAS.00.Furnace.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHSAGMX501,Space heating services,COM,.PRE.,Com Space Heat New Boiler - CO - GMX501,PJ,GW,PRE,CHSAGMX501_NRGO,ANNUAL,,commercial space heating,Commercial gas boiler
CHSAGMXCHPN01_N,tertiary CHP,COM,.CHP.,New CHP Commercial-SA_GMX,PJ,GW,CHP,CHSAGMXCHPN01_N_NRGO,DAYNITE,"0,00",tertiary CHP,tertiary CHP
CHSAHET100,Space heating services,COM,.PRE.,Com.Space Heat.SA.LTH.00.Heat exchanger.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",commercial space heating,Commercial Heat Exchanger
CHSALPG100,Space heating services,COM,.PRE.,Com.Space Heat.SA.LPG.00.Furnace.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",commercial space heating,Commercial gas boiler
CHSAOIL100,Space heating services,COM,.PRE.,Com.Space Heat.SA.OIL.00.Furnace.,PJ,GW,PRE,CHSA,ANNUAL,"0,00",commercial space heating,Commercial Oil boiler
