Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,bus
THIANGE 3,Nuclear,Steam Turbine,PP,BE,1030.0,0.34,1985.0,,2035.0,50.5334,5.2714,,,,,,,BEWAL
THIANGE 1,Nuclear,Steam Turbine,PP,BE,962.0,0.34,1975.0,,2025.0,50.5334,5.2714,,,,,,,BEWAL
THIANGE 2,Nuclear,Steam Turbine,PP,BE,1008.0,0.34,1982.0,,2023.0,50.5334,5.2714,,,,,,,BEWAL
SAINT-GHISLAIN TGV1,Natural Gas,CCGT,PP,BE,350.0,0.509,1998.0,,2038.0,50.5334,5.2714,,,,,,,BEWAL
AMERCOEUR 3,Natural Gas,CCGT,PP,BE,420.0,0.5473,2009.0,,2049.0,50.5334,5.2714,,,,,,,BEWAL
TGV MARCINELLE,Natural Gas,CCGT,PP,BE,420.0,0.5433,2011.0,,2051.0,50.5334,5.2714,,,,,,,BEWAL
TGV DE SERAING,Natural Gas,CCGT,PP,BE,462.0,0.4943,1994.0,,2034.0,50.5334,5.2714,,,,,,,BEWAL
TURBOJET CIERREUX,Oil,Steam Turbine,PP,BE,17.0,0.2444,1971.0,,2011.0,50.5334,5.2714,,,,,,,BEWAL
CENTRALE TAG3 D'ANGLEUR,Natural Gas,OCGT,PP,BE,178.0,0.3662,2013.0,,2053.0,50.5334,5.2714,,,,,,,BEWAL
Engine_BE345_9,Biogas,Engine,PP,BE,2.1100000000000003,0.3268,2007.0,,2027.0,50.5334,5.2714,,,,,,,BEWAL
Steam Turbine_BE332_14,Waste,Steam Turbine,PP,BE,34.0,0.1997,2009.0,,2059.0,50.5334,5.2714,,,,,,,BEWAL
Engine_BE352_15,Biogas,Engine,PP,BE,1.0,0.2784,2014.0,,2034.0,50.5334,5.2714,,,,,,,BEWAL
Engine_BE324_25,Biogas,Engine,PP,BE,17.914,0.3268,2007.0,,2027.0,50.5334,5.2714,,,,,,,BEWAL
Steam Turbine_BE310_28,Waste,Steam Turbine,PP,BE,9.0,0.1997,2009.0,,2059.0,50.5334,5.2714,,,,,,,BEWAL
Run-Of-River_BE332_29,Hydro,Run-Of-River,PP,BE,49.89285,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
Run-Of-River_BE325_31,Hydro,Run-Of-River,PP,BE,2.69,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
Engine_BE310_33,Biogas,Engine,PP,BE,4.026,0.3268,2007.0,,2027.0,50.5334,5.2714,,,,,,,BEWAL
Run-Of-River_BE352_34,Hydro,Run-Of-River,PP,BE,16.214994,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
Run-Of-River_BE341_36,Hydro,Run-Of-River,PP,BE,0.00658,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
Run-Of-River_BE331_46,Hydro,Run-Of-River,PP,BE,10.2927,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
Engine_BE326_50,Biogas,Engine,PP,BE,0.6,0.3268,2007.0,,2027.0,50.5334,5.2714,,,,,,,BEWAL
Run-Of-River_BE326_52,Hydro,Run-Of-River,PP,BE,0.017,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
Engine_BE326_60,Natural Gas,Engine,PP,BE,3.0,0.4371,2014.0,,2034.0,50.5334,5.2714,,,,,,,BEWAL
Run-Of-River_BE335_62,Hydro,Run-Of-River,PP,BE,18.553101,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
Run-Of-River_BE343_68,Hydro,Run-Of-River,PP,BE,0.0445,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
Engine_BE332_79,Biogas,Engine,PP,BE,2.506,0.3268,2007.0,,2027.0,50.5334,5.2714,,,,,,,BEWAL
Run-Of-River_BE344_82,Hydro,Run-Of-River,PP,BE,0.711557,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
Run-Of-River_BE351_83,Hydro,Run-Of-River,PP,BE,8.236049999999999,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
Engine_BE322_86,Biogas,Engine,PP,BE,2.41,0.3268,2007.0,,2027.0,50.5334,5.2714,,,,,,,BEWAL
Steam Turbine_BE322_91,Waste,Steam Turbine,PP,BE,6.6,0.1997,2009.0,,2059.0,50.5334,5.2714,,,,,,,BEWAL
Engine_BE335_95,Solid Biomass,Engine,PP,BE,1.2,0.2116,2007.0,,2027.0,50.5334,5.2714,,,,,,,BEWAL
Engine_BE332_100,Natural Gas,Engine,PP,BE,1.0,0.4371,2014.0,,2034.0,50.5334,5.2714,,,,,,,BEWAL
Steam Turbine_BE335_103,Solid Biomass,Steam Turbine,PP,BE,10.0,0.2116,2007.0,,2027.0,50.5334,5.2714,,,,,,,BEWAL
Run-Of-River_BE342_107,Hydro,Run-Of-River,PP,BE,1.272059,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
Engine_BE335_108,Biogas,Engine,PP,BE,0.22,0.3268,2007.0,,2027.0,50.5334,5.2714,,,,,,,BEWAL
Engine_BE331_118,Biogas,Engine,PP,BE,1.94,0.2784,2003.0,,2023.0,50.5334,5.2714,,,,,,,BEWAL
Engine_BE353_130,Biogas,Engine,PP,BE,0.208,0.3268,2007.0,,2027.0,50.5334,5.2714,,,,,,,BEWAL
Run-Of-River_BE345_135,Hydro,Run-Of-River,PP,BE,2.1935,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
Run-Of-River_BE310_136,Hydro,Run-Of-River,PP,BE,0.0684109999999999,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
Steam Turbine_BE321_139,Waste,Steam Turbine,PP,BE,37.6,0.1997,2009.0,,2059.0,50.5334,5.2714,,,,,,,BEWAL
Engine_BE352_150,Biogas,Engine,PP,BE,0.308,0.3268,2007.0,,2027.0,50.5334,5.2714,,,,,,,BEWAL
Engine_BE334_154,Biogas,Engine,PP,BE,1.8,0.3268,2007.0,,2027.0,50.5334,5.2714,,,,,,,BEWAL
Run-Of-River_BE334_157,Hydro,Run-Of-River,PP,BE,0.0345,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
Run-Of-River_BE353_159,Hydro,Run-Of-River,PP,BE,1.0694,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
Run-Of-River_BE322_160,Hydro,Run-Of-River,PP,BE,2.153652,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
Engine_BE331_162,Biogas,Engine,PP,BE,1.2,0.3268,2007.0,,2027.0,50.5334,5.2714,,,,,,,BEWAL
Engine_BE310_163,Biogas,Engine,PP,BE,10.7,0.2784,2003.0,,2023.0,50.5334,5.2714,,,,,,,BEWAL
Run-Of-River_BE321_167,Hydro,Run-Of-River,PP,BE,0.0025,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
HYDRO DE BÃ‰VERCÃ‰,Hydro,Reservoir,PP,BE,11.6,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
HYDRO DE BÃœTGENBACH,Hydro,Reservoir,PP,BE,2.106,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
HYDRO DE LA VIERRE (CHINY),Hydro,Reservoir,PP,BE,2.0,1.0,2018.0,,2068.0,50.5334,5.2714,,,,,,,BEWAL
CENTRALE DE POMPAGE DE LA PLATE TAILLE,Hydro,Pumped Storage,PP,BE,146.0,0.75,1980.0,,2060.0,50.5334,5.2714,,,,,,,BEWAL
POMPAGE COO I-II,Hydro,Pumped Storage,PP,BE,1164.0,0.75,1972.0,,2052.0,50.5334,5.2714,,,,,,,BEWAL
