source_country_code,target_country_code,NTC_2030_MW
ALB,GRC,600
ALB,MKD,500
ALB,MNE,400
ALB,SRB,250
ALB,XKX,0
AUT,CHE,1200
AUT,CZE,900
AUT,DEU,7500
AUT,HUN,800
AUT,ITA,875
AUT,SVK,0
AUT,SVN,950
BEL,DEU,1000
BEL,FRA,2800
BEL,GBR,2400
BEL,LUX,680
BEL,NLD,3400
BGR,GRC,1700
BGR,MKD,400
BGR,ROU,2190
BGR,SRB,380
BGR,TUR,900
BIH,HRV,900
BIH,MNE,500
BIH,SRB,1640
CHE,AUT,1200
CHE,DEU,4200
CHE,FRA,2200
CHE,ITA,5772
CYP,GRC,1000
CYP,ISR,1000
CZE,AUT,900
CZE,DEU,2600
CZE,POL,600
CZE,SVK,1800
DEU,AUT,7500
DEU,BEL,1000
DEU,CHE,4400
DEU,CZE,2500
DEU,DNK,6500
DEU,FRA,4800
DEU,GBR,1400
DEU,GRC,0
DEU,LUX,3700
DEU,NLD,5000
DEU,NOR,1400
DEU,POL,2000
DEU,SWE,1315
DNK,DEU,6500
DNK,GBR,1400
DNK,NLD,700
DNK,NOR,1632
DNK,POL,0
DNK,SWE,2415
DZA,MAR,1000
DZA,MAR,250
EGY,GRC,3000
EGY,LBY,240
EGY,SAU,1680
ESP,FRA,5000
ESP,ITA,0
ESP,MAR,900
ESP,PRT,4200
EST,FIN,1016
EST,LVA,950
EST,RUS,0
FIN,EST,1016
FIN,NOR,0
FIN,SWE,3200
FRA,BEL,4300
FRA,CHE,4500
FRA,DEU,4800
FRA,ESP,5000
FRA,GBR,5600
FRA,IRL,700
FRA,ITA,4605
FRA,LUX,380
GBR,BEL,2400
GBR,DEU,1400
GBR,DNK,1400
GBR,FRA,5600
GBR,IRL,2950
GBR,NLD,2800
GBR,NOR,1400
GRC,ALB,600
GRC,BGR,1400
GRC,CYP,1000
GRC,EGY,3000
GRC,ITA,500
GRC,LBY,0
GRC,MKD,1100
GRC,TUR,660
HRV,BIH,800
HRV,HUN,800
HRV,SRB,300
HRV,SVN,1500
HUN,AUT,800
HUN,HRV,1000
HUN,ROU,1617
HUN,SRB,600
HUN,SVK,1800
HUN,SVN,1200
HUN,UKR,1000
IRL,FRA,700
IRL,GBR,3000
ISR,CYP,1000
ISR,PSE,3000
ITA,AUT,695
ITA,CHE,3110
ITA,DZA,0
ITA,ESP,0
ITA,FRA,2310
ITA,GRC,500
ITA,MLT,225
ITA,MNE,600
ITA,SVN,1080
ITA,TUN,600
LBY,EGY,240
LBY,GRC,0
LBY,TUN,500
LTU,LVA,950
LTU,POL,700
LTU,RUS,0
LTU,SWE,700
LUX,BEL,180
LUX,DEU,3700
LUX,FRA,0
LVA,EST,879
LVA,LTU,950
LVA,RUS,0
LVA,SWE,0
MAR,DZA,1000
MAR,ESP,600
MDA,ROU,480
MDA,UKR,600
MKD,ALB,500
MKD,BGR,400
MKD,GRC,850
MKD,SRB,460
MKD,XKX,0
MLT,ITA,225
MLT,TUN,0
MNE,ALB,400
MNE,BIH,500
MNE,ITA,600
MNE,SRB,540
MNE,XKX,0
NLD,BEL,3400
NLD,DEU,5000
NLD,DNK,700
NLD,GBR,2800
NLD,NOR,700
NOR,DEU,1400
NOR,DNK,1632
NOR,FIN,0
NOR,GBR,1400
NOR,NLD,700
NOR,RUS,0
NOR,SWE,3695
POL,CZE,800
POL,DEU,3000
POL,DNK,0
POL,LTU,700
POL,SVK,781
POL,SWE,600
POL,UKR,500
PRT,ESP,3500
PSE,ISR,3000
ROU,BGR,2190
ROU,HUN,1435
ROU,MDA,950
ROU,SRB,1984
ROU,UKR,800
RUS,EST,0
RUS,LTU,0
RUS,LVA,0
RUS,NOR,0
RUS,UKR,0
SAU,EGY,1260
SRB,ALB,250
SRB,BGR,350
SRB,BIH,1680
SRB,HRV,400
SRB,HUN,700
SRB,MKD,480
SRB,MNE,1140
SRB,ROU,1800
SRB,XKX,0
SVK,AUT,0
SVK,CZE,1100
SVK,HUN,2513
SVK,POL,818
SVK,UKR,400
SVN,AUT,950
SVN,HRV,1500
SVN,HUN,1200
SVN,ITA,1153
SWE,DEU,1315
SWE,DNK,2015
SWE,FIN,3200
SWE,LTU,700
SWE,LVA,0
SWE,NOR,3995
SWE,POL,600
TUN,DZA,250
TUN,ITA,600
TUN,LBY,500
TUN,MLT,0
TUR,BGR,500
TUR,GRC,580
UKR,HUN,1000
UKR,MDA,600
UKR,POL,500
UKR,ROU,800
UKR,RUS,0
UKR,SVK,400
XKX,ALB,0
XKX,MKD,0
XKX,MNE,0
XKX,SRB,0
