,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,bus
1,Tihange,Nuclear,Steam Turbine,PP,BEWAL,1002.7,,1975.0,1975.0,2025.0,50.5334,5.2714,,0.0,0.0,0.0,"{'22WTIHANG000242R', '22WTIHANG000239G', '22WTIHANG000241T', '22WTIHANG000240V'}","{'ENTSOE': {'22WTIHANG000242R', '22WTIHANG000239G', '22WTIHANG000241T', '22WTIHANG000240V'}, 'GEM': {'G100000500257', 'G100000500205', 'G100000500194'}, 'OPSD': {'OEU-41', 'OEU-39', 'OEU-42', 'OEU-40'}, 'WIKIPEDIA': {'WIKIPEDIA-7', 'WIKIPEDIA-5', 'WIKIPEDIA-6'}, 'GPD': {'WRI1002275', 'WRI1002277'}, 'GEO': {'GEO-5724'}}",BEWAL
2,Tihange,Nuclear,Steam Turbine,PP,BEWAL,1002.7,,1975.0,1975.0,2035,50.5334,5.2714,,0.0,0.0,0.0,"{'22WTIHANG000242R', '22WTIHANG000239G', '22WTIHANG000241T', '22WTIHANG000240V'}","{'ENTSOE': {'22WTIHANG000242R', '22WTIHANG000239G', '22WTIHANG000241T', '22WTIHANG000240V'}, 'GEM': {'G100000500257', 'G100000500205', 'G100000500194'}, 'OPSD': {'OEU-41', 'OEU-39', 'OEU-42', 'OEU-40'}, 'WIKIPEDIA': {'WIKIPEDIA-7', 'WIKIPEDIA-5', 'WIKIPEDIA-6'}, 'GPD': {'WRI1002275', 'WRI1002277'}, 'GEO': {'GEO-5724'}}",BEWAL
3,Tihange,Nuclear,Steam Turbine,PP,BEWAL,1002.7,,1975.0,1975.0,2045,50.5334,5.2714,,0.0,0.0,0.0,"{'22WTIHANG000242R', '22WTIHANG000239G', '22WTIHANG000241T', '22WTIHANG000240V'}","{'ENTSOE': {'22WTIHANG000242R', '22WTIHANG000239G', '22WTIHANG000241T', '22WTIHANG000240V'}, 'GEM': {'G100000500257', 'G100000500205', 'G100000500194'}, 'OPSD': {'OEU-41', 'OEU-39', 'OEU-42', 'OEU-40'}, 'WIKIPEDIA': {'WIKIPEDIA-7', 'WIKIPEDIA-5', 'WIKIPEDIA-6'}, 'GPD': {'WRI1002275', 'WRI1002277'}, 'GEO': {'GEO-5724'}}",BEWAL
